;base;modelo;user;k;rmse
0;ratings;cosine;True;2;8.362112786357647
1;ratings;cosine;True;3;8.362112786357647
2;ratings;cosine;True;4;8.362112786357647
3;ratings;cosine;True;5;8.362112786357647
4;ratings;cosine;True;6;8.362112786357647
5;ratings;cosine;True;7;8.362112786357647
6;ratings;cosine;True;8;8.362112786357647
7;ratings;cosine;True;9;8.362112786357647
8;ratings;cosine;True;10;8.362112786357647
9;ratings;cosine;True;11;8.362112786357647
10;ratings;cosine;True;12;8.362112786357647
11;ratings;cosine;True;13;8.362112786357647
12;ratings;cosine;True;14;8.362112786357647
13;ratings;cosine;True;15;8.362112786357647
14;ratings;cosine;True;16;8.362112786357647
15;ratings;cosine;True;17;8.362112786357647
16;ratings;cosine;True;18;8.362112786357647
17;ratings;cosine;True;19;8.362112786357647
18;ratings;cosine;True;20;8.362112786357647
19;ratings;cosine;True;21;8.362112786357647
20;ratings;cosine;True;22;8.362112786357647
21;ratings;cosine;True;23;8.362112786357647
22;ratings;cosine;True;24;8.362112786357647
23;ratings;cosine;True;25;8.362112786357647
24;ratings;cosine;True;26;8.362112786357647
25;ratings;cosine;True;27;8.362112786357647
26;ratings;cosine;True;28;8.362112786357647
27;ratings;cosine;True;29;8.362112786357647
28;ratings;pearson;True;2;8.360635373656649
29;ratings;pearson;True;3;8.360635373656649
30;ratings;pearson;True;4;8.360635373656649
31;ratings;pearson;True;5;8.360635373656649
32;ratings;pearson;True;6;8.360635373656649
33;ratings;pearson;True;7;8.360635373656649
34;ratings;pearson;True;8;8.360635373656649
35;ratings;pearson;True;9;8.360635373656649
36;ratings;pearson;True;10;8.360635373656649
37;ratings;pearson;True;11;8.360635373656649
38;ratings;pearson;True;12;8.360635373656649
39;ratings;pearson;True;13;8.360635373656649
40;ratings;pearson;True;14;8.360635373656649
41;ratings;pearson;True;15;8.360635373656649
42;ratings;pearson;True;16;8.360635373656649
43;ratings;pearson;True;17;8.360635373656649
44;ratings;pearson;True;18;8.360635373656649
45;ratings;pearson;True;19;8.360635373656649
46;ratings;pearson;True;20;8.360635373656649
47;ratings;pearson;True;21;8.360635373656649
48;ratings;pearson;True;22;8.360635373656649
49;ratings;pearson;True;23;8.360635373656649
50;ratings;pearson;True;24;8.360635373656649
51;ratings;pearson;True;25;8.360635373656649
52;ratings;pearson;True;26;8.360635373656649
53;ratings;pearson;True;27;8.360635373656649
54;ratings;pearson;True;28;8.360635373656649
55;ratings;pearson;True;29;8.360635373656649
56;ratings;cosine;False;2;8.362112786357647
57;ratings;cosine;False;3;8.362112786357647
58;ratings;cosine;False;4;8.362112786357647
59;ratings;cosine;False;5;8.362112786357647
60;ratings;cosine;False;6;8.362112786357647
61;ratings;cosine;False;7;8.362112786357647
62;ratings;cosine;False;8;8.362112786357647
63;ratings;cosine;False;9;8.362112786357647
64;ratings;cosine;False;10;8.362112786357647
65;ratings;cosine;False;11;8.362112786357647
66;ratings;cosine;False;12;8.362112786357647
67;ratings;cosine;False;13;8.362112786357647
68;ratings;cosine;False;14;8.362112786357647
69;ratings;cosine;False;15;8.362112786357647
70;ratings;cosine;False;16;8.362112786357647
71;ratings;cosine;False;17;8.362112786357647
72;ratings;cosine;False;18;8.362112786357647
73;ratings;cosine;False;19;8.362112786357647
74;ratings;cosine;False;20;8.362112786357647
75;ratings;cosine;False;21;8.362112786357647
76;ratings;cosine;False;22;8.362112786357647
77;ratings;cosine;False;23;8.362112786357647
78;ratings;cosine;False;24;8.362112786357647
79;ratings;cosine;False;25;8.362112786357647
80;ratings;cosine;False;26;8.362112786357647
81;ratings;cosine;False;27;8.362112786357647
82;ratings;cosine;False;28;8.362112786357647
83;ratings;cosine;False;29;8.362112786357647
84;ratings;pearson;False;2;8.360635373656649
85;ratings;pearson;False;3;8.360635373656649
86;ratings;pearson;False;4;8.360635373656649
87;ratings;pearson;False;5;8.360635373656649
88;ratings;pearson;False;6;8.360635373656649
89;ratings;pearson;False;7;8.360635373656649
90;ratings;pearson;False;8;8.360635373656649
91;ratings;pearson;False;9;8.360635373656649
92;ratings;pearson;False;10;8.360635373656649
93;ratings;pearson;False;11;8.360635373656649
94;ratings;pearson;False;12;8.360635373656649
95;ratings;pearson;False;13;8.360635373656649
96;ratings;pearson;False;14;8.360635373656649
97;ratings;pearson;False;15;8.360635373656649
98;ratings;pearson;False;16;8.360635373656649
99;ratings;pearson;False;17;8.360635373656649
100;ratings;pearson;False;18;8.360635373656649
101;ratings;pearson;False;19;8.360635373656649
102;ratings;pearson;False;20;8.360635373656649
103;ratings;pearson;False;21;8.360635373656649
104;ratings;pearson;False;22;8.360635373656649
105;ratings;pearson;False;23;8.360635373656649
106;ratings;pearson;False;24;8.360635373656649
107;ratings;pearson;False;25;8.360635373656649
108;ratings;pearson;False;26;8.360635373656649
109;ratings;pearson;False;27;8.360635373656649
110;ratings;pearson;False;28;8.360635373656649
111;ratings;pearson;False;29;8.360635373656649
112;ratings_art;cosine;True;2;94.30658597965996
113;ratings_art;cosine;True;3;94.31261888181099
114;ratings_art;cosine;True;4;94.31261888181099
115;ratings_art;cosine;True;5;94.31261888181099
116;ratings_art;cosine;True;6;94.31261888181099
117;ratings_art;cosine;True;7;94.31261888181099
118;ratings_art;cosine;True;8;94.31261888181099
119;ratings_art;cosine;True;9;94.31261888181099
120;ratings_art;cosine;True;10;94.31261888181099
121;ratings_art;cosine;True;11;94.31261888181099
122;ratings_art;cosine;True;12;94.31261888181099
123;ratings_art;cosine;True;13;94.31261888181099
124;ratings_art;cosine;True;14;94.31261888181099
125;ratings_art;cosine;True;15;94.31261888181099
